ex_serial|ex_type|ex_code|ex_body_part|ex_description
7060|CT|Q18E      |CH|CT CHEST + EXP HRCT C+
7061|CT|Q18EP     |CH|CT CHEST + EXP + PRONE HRCT C+
7059|CT|Q18P      |CH|CT CHEST + PRONE HRCT C+
521|CT|Q19       |CH|CT CHEST HRCT C-
7317|CT|Q19A      |CH|CT CHEST HRCT C- SEC
522|CT|Q20       |CH|CT CHEST CTPA C+
7275|CT|Q200      |OT|CT Other Region
7337|CT|Q200A     |OT|CT OTHER REGION SEC
523|CT|Q21       |CH|CT CHEST TRAUMA C+
3007|CT|Q21CA     |CD|CT CHEST ABDOMEN C+
8060|CT|Q21CAGAS  |CD|CT CHEST ABDOMEN GAS C+
3008|CT|Q21CAP    |CD|CT CHEST/ABDOMEN/PELVIS
524|CT|Q22       |AB|CT ABDOMEN C+
7318|CT|Q22A      |AB|CT ABDOMEN C+ SEC
607|CT|Q23       |AB|CT ABDOMEN ADRENAL C-
525|CT|Q24       |AB|CT ABDOMEN ADRENAL C+
526|CT|Q25       |AB|CT ABDOMEN COLONOGRAPHY C-
7424|CT|Q25BS     |AB|CT ABDOMEN COLONOGRAPHY C- BS
6952|CT|Q25C      |AB|CT ABDOMEN COLONOGRAPHY C+
7425|CT|Q25CBS    |AB|CT ABDOMEN COLONOGRAPHY C+ BS
6294|CT|Q25T      |AB|CT ABDOMEN COLONOGRAPHY TAGGED C-
7426|CT|Q25TBS    |AB|CT ABDOMEN COLONOGRAPHY TAGGED C- BS
6953|CT|Q25TC     |AB|CT ABDOMEN COLONOGRAPHY TAGGED C+
7427|CT|Q25TCBS   |AB|CT ABDOMEN COLONOGRAPHY TAGGED C+ BS
527|CT|Q26       |AB|CTA ABDOMEN BLEED C+
528|CT|Q27       |AB|CTA ABDOMEN ISCHEMIA C+
529|CT|Q28       |AB|CT ABDOMEN SMALL BOWEL C+
530|CT|Q29       |AB|CT ABDOMEN 2 PHASE LIVER C+
531|CT|Q30       |AB|CT ABDOMEN TRAUMA C+
7428|CT|Q30B      |AB|CT ABDOMEN TRAUMA BIPHASIC C+
532|CT|Q31       |AB|CT ABDOMEN MULTIPHASE LIVER C+
533|CT|Q32       |AB|CT ABDOMEN PANCREAS C+
7580|CT|Q32W      |AB|CT ABDO PANCREAS WHIPPLES C+
534|CT|Q33       |AB|CT ABDOMEN KUB C-
7154|CT|Q33LD     |AB|CT ABDOMEN KUB LOW DOSE C-
535|CT|Q34       |AB|CT ABDOMEN IVU C+
536|CT|Q35       |AB|CT ABDOMEN RENAL C+
537|CT|Q36       |AB|CT ABDOMEN RENAL TRAUMA
539|CT|Q38       |LO|CT LEG LENGTHS C-
7336|CT|Q38A      |LO|CT LEG LENGTHS C- SEC
544|CT|Q43       |NK|CTA ARCH CAROTIDS C+
7333|CT|Q43A      |NK|CTA ARCH CAROTIDS C+ SEC
546|CT|Q44       |HD|CTA HEAD COW C+
7332|CT|Q44A      |HD|CTA HEAD COW C+ SEC
548|CT|Q46       |CH|CTA CARDIAC ANATOMY C+
549|CT|Q47       |CH|CTA CORONARY ARTERIES C+
550|CT|Q48       |CH|CTA CORONARY VEINS C+
551|CT|Q49       |CH|CTA CORONARY CALCIUM C-
552|CT|Q50       |CH|CTA PULMONARY VEINS C+
553|CT|Q51       |CD|CTA AORTA DISSECTION C+
554|CT|Q52       |CH|CTA AORTA THORACIC ABDOMINAL C+
7334|CT|Q52A      |CH|CTA AORTA THORACIC ABDOMINAL C+ SEC
555|CT|Q53       |AB|CTA AORTA AAA ACUTE C+
556|CT|Q54       |OT|CTA AORTA AAA STENT WORKUP C+
557|CT|Q55       |CH|CTA AORTA STENT THORACIC C+
558|CT|Q56       |CD|CTA AORTA STENT ABDOMINAL C+
559|CT|Q57       |AB|CTA RENAL DONOR C+
560|CT|Q58       |AB|CTA RENAL ARTERY C+
561|CT|Q59       |UL|CTA UPPER LIMB C+
562|CT|Q60       |LO|CTA LOWER LIMBS C+
7335|CT|Q60A      |LO|CTA LOWER LIMBS C+ SEC
563|CT|Q61       |LO|CTV LOWER LIMBS C+
564|CT|Q62       |HD|CT HEAD PAED C-
565|CT|Q63       |HD|CT HEAD PAED C+
566|CT|Q64       |NK|CT NECK PAED C+
569|CT|Q67       |CH|CT CHEST PAED C-
570|CT|Q68       |CH|CT CHEST PAED C+
571|CT|Q69       |CH|CT CHEST PAED HRCT C- with gaps
572|CT|Q70       |AB|CT ABDOMEN PAED C+
581|CT|Q78       |AB|CT PELVIS C-
7319|CT|Q78A      |AB|CT PELVIS TRAUMA C- SEC
582|CT|Q79       |SP|CT SPINE CERVICAL
7320|CT|Q79A      |SP|CT SPINE CERVICAL SEC
583|CT|Q80       |SP|CT SPINE THORACIC
7321|CT|Q80A      |SP|CT SPINE THORACIC SEC
584|CT|Q81       |SP|CT SPINE LUMBAR
7322|CT|Q81A      |SP|CT SPINE LUMBAR SEC
585|CT|Q82       |OT|CT BIOPSY
955|CT|Q82S      |OT|CT BIOPSY BY SURGEON - NO REPORT
597|CT|Q83       |OT|CT DRAINAGE
956|CT|Q83S      |OT|CT ABSCESS DRAIN BY SURGEON-NO REPORT
598|CT|Q84       |OT|CT INTERVENTIONAL
957|CT|Q84S      |OT|CT INTERVENTIONAL BY SURGEON - NO REPORT
883|CT|Q85       |OT|CTA AORTA THORACIC C+
942|CT|Q87       |AB|CT PELVIMETRY C-
7099|CT|Q88       |AB|CT NEPHROSTOGRAM
7747|CT|Q98       |HD|CT HEAD STEALTH C- - REPORT
7748|CT|Q98C      |HD|CT HEAD STEALTH C+ - REPORT
7289|CT|QCBCTDEN  |HD|CBCT DENTAL
7293|CT|QCBCTEXT  |OT|CBCT EXTREMITY
7291|CT|QCBCTFB   |HD|CBCT FACIAL BONES
7290|CT|QCBCTSIN  |HD|CBCT SINUSES
7292|CT|QCBCTTB   |HD|CBCT TEMPORAL BONES
6973|CT|QDE       |NA|CT DUAL ENERGY
6954|CT|QNOC+     |OT|CONTRAST CONTRAINDICATED. SCAN WITHOUT C
962|CT|QZ10      |OT|Unsuccessful CT - report
988|CT|T40S      |OT|CT INTERVENTIONAL BY SURGEON - NO REPORT
989|CT|T41S      |OT|CT ABSCESS DRAINAGE BY SURGEON-NO REPORT
282|CT|T50       |OT|CT 1-7 slices
71|CT|T52       |PV|CT Pelvimetry
41|CT|T60       |HD|CT Head/Neck, 8-20 slices
188|CT|T61       |CH|CT Chest, 8-20 slices
74|CT|T62       |AB|CT Abdo/Pelvis, 8-20 slices
159|CT|T63       |SP|CT Spine, 8-20 slices
185|CT|T64       |OT|CT Extremities, 8-20 slices
83|CT|T70       |HD|CT Head/Neck, 20-30 slices
10|CT|T71       |CH|CT Chest, 20-30 slices
99|CT|T72       |AB|CT Abdo/Pelvis, 20-30 slices
152|CT|T73       |SP|CT Spine, 20-30 slices
162|CT|T74       |OT|CT Extremities, 20-30 slices
24|CT|T80       |HD|CT Head/Neck, 30-50 slices
8|CT|T81       |CH|CT Chest, 30-50 slices
9|CT|T82       |AB|CT Abdo/Pelvis, 30-50 slices
178|CT|T83       |SP|CT Spine, 30-50 slices
79|CT|T84       |OT|CT Extremities, 30-50 slices
149|CT|T90       |HD|CT Head/Neck, 50+ slices
121|CT|T91       |CH|CT Chest, 50+ slices
11|CT|T92       |AB|CT Abdo/Pelvis, 50+ slices
44|CT|T93       |SP|CT Spine, 50+ slices
183|CT|T94       |OT|CT Extremities, 50+ slices
990|CT|T94S      |OT|CT BIOPSY BY SURGEON - NO REPORT
130|CT|T95       |AB|CT Urogram
137|CT|T98       |OT|CT Rth Planning - NO REPORT
106|CT|T99       |OT|CT Leg Lengths
950|CT|Z002      |OT|Unsuccessful CT - no report
8323|CT|ZBRCT001  |OT|ZBRCT001^CT- Angiography Leg Run Off
8347|CT|ZBRCT002  |OT|ZBRCT002^CT- Angiogram - Circle of Willi
8344|CT|ZBRCT003  |OT|ZBRCT003^CT- Angiogram Neck/ Carotids
8230|CT|ZBRCT004  |OT|ZBRCT004^CT- Angiogram - Chest/Thoracic
8325|CT|ZBRCT005  |OT|ZBRCT005^CT- Angiogram- Pulmonary
8383|CT|ZBRCT006  |OT|ZBRCT006^CT- Angiogram - Abdominal Aorta
8814|CT|ZBRCT008  |OT|ZBRCT008^CT - Angiogram Abdomen / Pelvis
8119|CT|ZBRCT009  |OT|ZBRCT009^CT - Brain
8263|CT|ZBRCT010  |OT|ZBRCT010^CT- Sinuses and Head
8138|CT|ZBRCT011  |OT|ZBRCT011^CT- Sinuses
8908|CT|ZBRCT012  |OT|ZBRCT012^CT- Orbits
8139|CT|ZBRCT013  |OT|ZBRCT013^CT- Temporal Bones
8398|CT|ZBRCT015  |OT|ZBRCT015^CT- Mandible
8286|CT|ZBRCT017  |OT|ZBRCT017^CT- Neck
8570|CT|ZBRCT01701|OT|ZBRCT017A^CT- Neck (ACC 2nd item)
8233|CT|ZBRCT019  |OT|ZBRCT019^CT- Neck and Chest
8906|CT|ZBRCT021  |OT|ZBRCT021^CT- Head/Neck/Chest/Abdomen/Pel
8174|CT|ZBRCT022  |OT|ZBRCT022^CT- Chest
8314|CT|ZBRCT023  |OT|ZBRCT023^CT- HRCT
8290|CT|ZBRCT024  |OT|ZBRCT024^CT - Chest and Abdomen
8372|CT|ZBRCT027  |OT|ZBRCT027^CT- Head / Chest / Abdomen / Pe
8259|CT|ZBRCT028  |OT|ZBRCT028^CT- Chest/ Abdomen/ Pelvis
8847|CT|ZBRCT030  |OT|ZBRCT030^CT - Enterography
8389|CT|ZBRCT031  |OT|ZBRCT031^CT- Pelvis
8223|CT|ZBRCT032  |OT|ZBRCT032^CT- Abdomen and Pelvis
8200|CT|ZBRCT033  |OT|ZBRCT033^CT- KUB
8160|CT|ZBRCT034  |OT|ZBRCT034^CT- IVU incl Contrast
8192|CT|ZBRCT035  |OT|ZBRCT035^CT- Shoulder
8258|CT|ZBRCT036  |OT|ZBRCT036^CT- Humerus
8195|CT|ZBRCT037  |OT|ZBRCT037^CT- Elbow
8366|CT|ZBRCT038  |OT|ZBRCT038^CT- Forearm
8215|CT|ZBRCT039  |OT|ZBRCT039A^CT- Wrist (ACC 2nd item)
8277|CT|ZBRCT03901|OT|ZBRCT039^CT- Wrist
8214|CT|ZBRCT040  |OT|ZBRCT040^CT- Hand
8923|CT|ZBRCT04001|OT|ZBRCT040A^CT- Hand (ACC 2nd item)
8181|CT|ZBRCT041  |OT|ZBRCT041^CT- Hips
8745|CT|ZBRCT042  |OT|ZBRCT042^CT- Femur
8207|CT|ZBRCT043  |OT|ZBRCT043^CT- Knee
8977|CT|ZBRCT04301|OT|ZBRCT043A^CT- Knee (ACC 2nd item)
8238|CT|ZBRCT044  |OT|ZBRCT044^CT- Tibia and Fibula
8237|CT|ZBRCT045  |OT|ZBRCT045^CT- Ankle
8307|CT|ZBRCT046  |OT|ZBRCT046^CT- Foot
8182|CT|ZBRCT047  |OT|ZBRCT047^CT- Leg Length
8260|CT|ZBRCT048  |OT|ZBRCT048^CT- Cervical Spine
8320|CT|ZBRCT049  |OT|ZBRCT049^CT- Thoracic Spine
8342|CT|ZBRCT04901|OT|ZBRCT049A^CT- Thoracic Spine (ACC 2nd it
8179|CT|ZBRCT050  |OT|ZBRCT050^CT- Lumbar Spine
8269|CT|ZBRCT05001|OT|ZBRCT050A^CT- Lumbar Spine (ACC 2nd item
8243|CT|ZBRCT051  |OT|ZBRCT051^CT- Sacrum
8118|CT|ZBRCT053  |OT|ZBRCT053^CT- Guided Injection
8221|CT|ZBRCT05301|OT|ZBRCT053A^CT- Guided Injection (ACC 2nd
8268|CT|ZBRCT054  |OT|ZBRCT054^CT- Discogram/ Intradiscal Inj
8264|CT|ZBRCT057  |OT|ZBRCT057^CT- IV Contrast (50mls)
8175|CT|ZBRCT058  |OT|ZBRCT058^CT- IV Contrast (70mls)
8224|CT|ZBRCT059  |OT|ZBRCT059^CT- IV Contrast (100mls)
8362|CT|ZBRCT060  |OT|ZBRCT060^CT- IV Contrast (150mls)
8735|CT|ZBRCT063  |OT|ZBRCT063^CT - Visit Not Complete (Report
8143|CT|ZBRCT064  |OT|ZBRCT064^CT- Calcium Score
8231|CT|ZBRCT065  |OT|ZBRCT065^CT- CTCA
8159|CT|ZBRCT067  |OT|ZBRCT067^CT - TAVI
8388|CT|ZBRCT070  |OT|ZBRCT070^CT - Multiphase Kidneys
8295|CT|ZBRCT071  |OT|ZBRCT071^CT - Multiphase Livers
8978|CT|ZBRCT072  |OT|ZBRCT072^CT - Multiphase Pancreas
8257|CT|ZBRCTCON  |OT|ZBRCTCONDHB^CT - Contrast (DHB only)
8208|CT|ZBRCTCOR  |OT|ZBRCTCORIN^CT - CORIN PROTOCOL
8235|CT|ZBRCTDHB  |OT|ZBRCTDHB1^CT - DHB 1 REGION
8271|CT|ZBRCTDHB01|OT|ZBRCTDHB2^CT - DHB 2 REGION
8329|CT|ZBRCTDHB02|OT|ZBRCTDHB3^CT - DHB 3 REGION
8968|CT|ZBRCTHIP  |OT|ZBRCTHIPMAP^CT - HIP MAP PROTOCOL
8984|CT|ZBRCTKNE  |OT|ZBRCTKNEEMAP^CT - KNEE MAP PROTOCOL
8375|CT|ZBRCTMAK  |OT|ZBRCTMAKO^CT - MAKO PROTOCOL
8203|CT|ZBRCTREC  |OT|ZBRCTRECON^CT- Additional 3D reconstruct
8201|CT|ZBRDUCO   |OT|ZBRDUCO^DUCO - CT HEAD
9051|CT|ZBRRF001  |OT|ZBRRF001^CT - Simple MBB
9047|CT|ZBRRF002  |OT|ZBRRF002^CT - complex MBB
3566|CT|ZCMAB1    |OT|ZCMAB1^C.T. ABDOMEN (LTD)
3567|CT|ZCMAB2    |OT|ZCMAB2^C.T. ABDOMEN (STANDARD)
3616|CT|ZCMAB3    |OT|ZCMAB3^C.T. ABDOMEN(MAX)
3580|CT|ZCMCTBIO  |OT|ZCMCTBIOP^CT BIOPSY
3594|CT|ZCMK9     |OT|ZCMK9^ANIMAL CT
3411|CT|ZCMT01    |OT|ZCMT01^C.T HEAD
3477|CT|ZCMT02    |OT|ZCMT02^CT HEAD - 2 REGIONS - PRIVATE
3522|CT|ZCMT10    |OT|ZCMT10^CT FACE/NECK
3482|CT|ZCMT11    |OT|ZCMT11^CT SINUS
3500|CT|ZCMT20    |OT|ZCMT20^CT CHEST
3534|CT|ZCMT21    |OT|ZCMT21^C.T. CHEST HIGH RESOLUTION
3422|CT|ZCMT30    |OT|ZCMT30^CT LIVER/PANCREAS/ UPPER ABDO
3507|CT|ZCMT31    |OT|ZCMT31^C.T. ABDOMEN/PELVIS
3487|CT|ZCMT40    |OT|ZCMT40^CT SPINE
3468|CT|ZCMT50    |OT|ZCMT50^CT EXTREMITY
3519|CT|ZCMT55    |OT|ZCMT55^CT HIPS
3533|CT|ZCMT60    |OT|ZCMT60^C.T. HEAD
3540|CT|ZCMT61    |OT|ZCMT61^CT ARTHROGRAM UPPER EXTREMITY
3492|CT|ZCMT66    |OT|ZCMT66^C.T. MASTOIDS
3486|CT|ZCMT67    |OT|ZCMT67^CT CHEST/ABDOMEN/PELVIS
3410|CT|ZCMT68    |OT|ZCMT68^CT HAEMATURIA / 4 PHASE
3538|CT|ZCMT69    |OT|ZCMT69^CT IAMS
3570|CT|ZCMT71    |OT|ZCMT71^CT CHEST (INCLUDES CONTRAST)
3416|CT|ZCMT72    |OT|ZCMT72^CT COLONOGRAPHY
3488|CT|ZCMT80    |OT|ZCMT80^CT GUIDED INJECTION/ASPIRATION
3601|CT|ZCMT90    |OT|ZCMT90^CT PELVIMETRY
3529|CT|ZCMT92    |OT|ZCMT92^CT LEG LENGTH
3430|CT|ZCMT95    |OT|ZCMT95^CT UROGRAM
3526|CT|ZCMT98    |OT|ZCMT98^C.T.OTHER REGION (ACC ONLY)
3491|CT|ZCMT99    |OT|ZCMT99^CT ADDITIONAL REGION
3555|CT|ZCMY05    |OT|ZCMY05^50 MLS NON-IONIC CONTRAST
3556|CT|ZCMY10    |OT|ZCMY10^100 MLS NON-IONIC CONTRAST
7729|CT|ZCRADD01  |OT|ZCRADD018^Interventional CT Procedure Fe
7053|CT|ZCRADD0804|OT|ZCRADD085^Inpatient Recovery Fee
7054|CT|ZCRADD0805|OT|ZCRADD086^Medical Supplies
7055|CT|ZCRADD11  |OT|ZCRADD112^Hospital Accommodation 1 night
8841|CT|ZCRADZ97  |OT|ZCRADZ973^CT Room Charge
8533|CT|ZCRCBH02  |OT|ZCRCBH020^CBCT Facial Bones/Dental
8538|CT|ZCRCBH0201|OT|ZCRCBH021^CBCT Temporal Bones
8413|CT|ZCRCBH03  |OT|ZCRCBH030^CBCT Sinuses
8859|CT|ZCRCBL52  |OT|ZCRCBL520^CBCT Lower Limb
8631|CT|ZCRCBS40  |OT|ZCRCBS400^CBCT Spine
8852|CT|ZCRCBU21  |OT|ZCRCBU210^CBCT Upper Extremity
8756|CT|ZCRCBZ99  |OT|ZCRCBZ990^CBCT - Incomplete/No imaging
6343|CT|ZCRCTA11  |OT|ZCRCTA111^CT Abdomen and/or Pelvis C+
6383|CT|ZCRCTA1101|OT|ZCRCTA110^CT Abdomen and/or Pelvis C-
6983|CT|ZCRCTA1102|OT|ZCRCTA111A^CT UpperAbdo and/or Pelvis C+
7404|CT|ZCRCTA1103|OT|ZCRCTA115^CT Multiphase Abdomen
6362|CT|ZCRCTA12  |OT|ZCRCTA125^CT Urogram +/- KUB xray
6543|CT|ZCRCTA1201|OT|ZCRCTA120^CT Kidneys (Dual or Triple Pha
6445|CT|ZCRCTA13  |OT|ZCRCTA130^CT Haematuria
7608|CT|ZCRCTA14  |OT|ZCRCTA140^CT Adrenals
6533|CT|ZCRCTA15  |OT|ZCRCTA150^CT Pancreas (Triple Phase)
6560|CT|ZCRCTA16  |OT|ZCRCTA160^CT Liver (Triple Phase)
6348|CT|ZCRCTA17  |OT|ZCRCTA170^CT Colonography
6363|CT|ZCRCTA1701|OT|ZCRCTA171^CT Colonography (with contrast
7401|CT|ZCRCTA18  |OT|ZCRCTA180^CT Enterography
6373|CT|ZCRCTA30  |OT|ZCRCTA300^CT Pelvis
6722|CT|ZCRCTA3001|OT|ZCRCTA300A^CT Pelvis (Additional Region)
8569|CT|ZCRCTA3003|OT|ZCRCTA308^CT Abdomen Pancreas
8885|CT|ZCRCTA3004|OT|ZCRCTA302^CT Abdomen FIZZ
8920|CT|ZCRCTA3005|OT|ZCRCTA309^CT Abdomen Adrenal
8468|CT|ZCRCTA31  |OT|ZCRCTA315^CT Abdomen KUB
8513|CT|ZCRCTA3101|OT|ZCRCTA317^CT Abdomen Renal/Adrenal Multi
8520|CT|ZCRCTA3102|OT|ZCRCTA316^CT Abdomen IVU
8873|CT|ZCRCTA3103|OT|ZCRCTA318^CT Abdomen Cystogram
8492|CT|ZCRCTA32  |OT|ZCRCTA329^CT Abdomen & Pelvis
8612|CT|ZCRCTA3201|OT|ZCRCTA320^CT Abdomen Small Bowel (Entero
8458|CT|ZCRCTA33  |OT|ZCRCTA330^CT Colonography (bowel prep)
8469|CT|ZCRCTA3301|OT|ZCRCTA331^CT Colonography (tagged)
8807|CT|ZCRCTA34  |OT|ZCRCTA340^CT Pelvis - soft tissue
8592|CT|ZCRCTA3601|OT|ZCRCTA363^CT Hip - Prosthetic Planning
6342|CT|ZCRCTC10  |OT|ZCRCTC101^CT Chest (High Resolution or C
6389|CT|ZCRCTC1001|OT|ZCRCTC102^CT Chest (C+)
6500|CT|ZCRCTC1002|OT|ZCRCTC101A^CT Chest (High Resolution or
7153|CT|ZCRCTC1003|OT|ZCRCTC102A^CT Chest (C+) (Additional Reg
7375|CT|ZCRCTC1004|OT|ZCRCTC100^CT Chest
7504|CT|ZCRCTC1005|OT|ZCRCTC100A^CT Chest ((Additional)
8624|CT|ZCRCTC11  |OT|ZCRCTC110^CT Chest + Exp HRCT
8800|CT|ZCRCTC1101|OT|ZCRCTC112^CT Chest + Exp + Prone HRCT
6375|CT|ZCRCTC20  |OT|ZCRCTC200^CT Coronary Angiogram (Private
6402|CT|ZCRCTC2001|OT|ZCRCTC201^CT Coronary Angiogram (Souther
6881|CT|ZCRCTC2002|OT|ZCRCTC202^Limited Coronary Angiora
6371|CT|ZCRCTC24  |OT|ZCRCTC240^CT Coronary Artery Scoring
6540|CT|ZCRCTC26  |OT|ZCRCTC260^CT TAVI
6906|CT|ZCRCTC2601|OT|ZCRCTC261^CT TAVI WITH CORONARY ARTERIES
8514|CT|ZCRCTH00  |OT|ZCRCTH000^CT Head
8985|CT|ZCRCTH0001|OT|ZCRCTH005^CT Head Stealth
8678|CT|ZCRCTH02  |OT|ZCRCTH020^CT Facial Bones
8690|CT|ZCRCTH0201|OT|ZCRCTH023^CT Orbits
8752|CT|ZCRCTH0202|OT|ZCRCTH021^CT Temporal Bones / IAMS
8521|CT|ZCRCTH03  |OT|ZCRCTH030^CT Sinuses
6346|CT|ZCRCTH10  |OT|ZCRCTH100^CT Head C- (Survey)
6365|CT|ZCRCTH1001|OT|ZCRCTH101^CT Head C+
6406|CT|ZCRCTH1002|OT|ZCRCTH105^CT Face
6417|CT|ZCRCTH1003|OT|ZCRCTH100A^CT Head C- (Survey)(Additiona
6467|CT|ZCRCTH1004|OT|ZCRCTH101A^CT Head C+ (Additional Region
6831|CT|ZCRCTH1005|OT|ZCRCTH105A^CT Face (Additional Region)
